Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-07-09,292.72491455078125,295.2575569343359,289.2797661942762,295.01545713395797,83354200
2020-07-10,295.7137756347656,295.98380782335494,291.21648799340585,292.6597095927378,57550400
2020-07-13,293.1532287597656,300.4811238994006,292.49214284352576,298.0788516258207,102997500
2020-07-14,296.95220947265625,297.73434529977044,290.508859446234,291.71930166107177,93657000
2020-07-15,299.68035888671875,300.78839167203427,297.27805833442494,300.2017827368121,87196500
2020-07-16,298.69342041015625,299.14965924295814,297.1105080770682,297.76230219433336,54622500
2020-07-17,299.559326171875,300.35078226613393,297.7157020433569,299.7083084826566,62774900
2020-07-20,301.9802551269531,302.73445857993903,298.5351064928291,299.289309945815,56308800
2020-07-21,302.62274169921875,304.41047276850526,301.6264383843552,303.96355420892013,57292200
2020-07-22,304.34527587890625,304.6618810669734,302.147850604843,302.2595802404093,57792900
2020-07-23,300.7138977050781,304.6897902319938,299.3358610842569,303.9821313734296,75738000
2020-07-24,298.77716064453125,299.81068802751037,297.25943369578823,298.84234572691753,73766600
2020-07-27,300.9560241699219,301.13293890023635,298.6747732256388,299.4755496495052,48293000
2020-07-28,299.04718017578125,301.34704276942347,298.749215596455,300.22036953174586,57495000
2020-07-29,302.72509765625,303.2930944461457,299.8944908112124,299.9317434897633,48454200
2020-07-30,301.6450500488281,302.06406461325884,297.622640941469,299.72694879233813,61861700
2020-07-31,304.02862548828125,304.1310632397272,299.19612101188454,303.45133690065956,84986800
2020-08-03,306.1423645019531,306.9151801141512,305.1553814716891,305.70473780623433,53077900
2020-08-04,307.32489013671875,307.32489013671875,305.27641860176607,305.27641860176607,41917900
2020-08-05,309.2336730957031,309.49441348854435,308.3677399296783,308.6377721826393,42697700
2020-08-06,311.3006896972656,311.42173959200727,308.32112894305834,308.6470259484085,43679400
2020-08-07,311.5242919921875,311.8129364248806,309.41063502413834,310.32314129181634,57308300
2020-08-10,312.4552917480469,312.6414983092965,310.0250588545826,311.98041244824475,44282100
2020-08-11,309.8761291503906,314.2896487915677,309.1405662230884,313.64717495295594,69601100
2020-08-12,314.196533203125,314.9786690950141,312.30636436052487,312.3342967703969,53774400
2020-08-13,313.6285095214844,314.9507097785725,312.69739138466673,313.4236623947657,41816100
2020-08-14,313.6378479003906,314.1779123635833,312.5018825712812,313.23747389816054,47260400
2020-08-17,314.6340637207031,315.03443761163555,313.6470809863066,314.66199612203644,35481000
2020-08-18,315.3138732910156,315.74217969636476,313.42367611169993,315.0345207884622,38733900
2020-08-19,314.0009765625,316.217013838339,313.43297972832573,315.69558995985096,68054200
2020-08-20,314.9786376953125,315.4628088899853,312.1294185105103,312.25976027176176,42207800
2020-08-21,316.0959777832031,316.31943703069396,314.29889828306796,314.6434358435749,55106600
2020-08-24,319.2991027832031,319.3735797450574,316.06812111680176,318.554191087282,48588700
2020-08-25,320.4164123535156,320.50020958739054,318.6938378825997,319.8670559877972,38463400
2020-08-26,323.6287536621094,323.89875747602053,320.46295752322794,321.0123138413024,50790200
2020-08-27,324.33642578125,325.798288335773,322.6604242030733,324.50404867144806,58034100
2020-08-28,326.43133544921875,326.5617056084477,324.168725532313,325.369875706848,48588900
2020-08-31,325.24896240234375,327.10187890471985,325.0161828049406,326.21733348387477,66099200
2020-09-01,328.3122253417969,328.414634686384,325.1836539632205,326.0868395952134,54908700
2020-09-02,333.0610046386719,334.03866742103185,329.0851115820014,330.2397175180484,69540000
2020-09-03,321.5989685058594,331.83194969630284,318.99182017417996,331.35707026262884,148011100
2020-09-04,318.9731140136719,323.8707755851033,311.803493734289,322.28789196523667,139156300
2020-09-08,310.2578430175781,319.0383079814321,309.9505865584041,313.5167562507004,114465300
2020-09-09,316.3846740722656,318.87074385526404,313.4236964794232,314.29894989645277,91462300
2020-09-10,310.8910827636719,318.93592958046594,309.9227118378307,318.274843586461,90569500
2020-09-11,311.04937744140625,313.7589351078927,308.20015771282783,312.6881547445535,84680200
2020-09-14,315.146240234375,316.93399958031324,311.19830838207776,314.243054494716,65605700
2020-09-15,316.7384033203125,318.46094878329137,315.15549145029104,317.6229483172948,52920900
2020-09-16,315.4814453125,319.4293770117385,315.2020928298086,317.9861553053102,82096000
2020-09-17,312.7066955566406,314.4385899779849,310.05300332026394,310.5837474506331,91523300
2020-09-18,309.1065979003906,313.6312458044341,306.60121930156913,313.5190689312354,105877900
2020-09-21,305.6663818359375,305.8159605137822,300.7678013856903,304.4791385251408,99450800
2020-09-22,308.7793884277344,309.3403013085807,304.62867305037145,307.1621243318381,63612100
2020-09-23,301.6184997558594,309.62077320092527,301.1136753082404,309.34030249481947,93112200
2020-09-24,302.42254638671875,305.5075254018492,298.9636063146559,300.29109959663043,76681300
2020-09-25,307.31170654296875,308.1063022266746,300.68365677214575,301.56238510956587,71069400
2020-09-28,312.4159240722656,313.1357446158917,310.50883184921554,311.50912307432037,64584600
2020-09-29,310.7145690917969,312.9581924041424,310.0134350236128,312.2103274764333,51304000
2020-09-30,313.0704345703125,316.2489036800177,311.1913859176514,311.3876954916062,104081100
2020-10-01,315.0802307128906,316.66945041779456,313.182496119039,315.6878743803307,88698700
2020-10-02,312.0887451171875,315.0522172101626,309.6114108289228,310.0881910514769,89431100
2020-10-05,317.6230773925781,317.81002935219834,314.1174071960067,314.1641380536075,45713100
2020-10-06,313.10772705078125,319.87602637009286,312.5935735514593,317.7632668791493,90128900
2020-10-07,318.5578918457031,319.3712026876588,316.0618423552603,316.089886572941,56999600
2020-10-08,321.38116455078125,321.4466105786607,319.5862487512889,320.5117651377044,45242500
2020-10-09,324.2510986328125,324.7185212837091,322.4188098294779,323.04514020531917,59528600
2020-10-12,329.467529296875,330.95392993224266,326.3171051329937,326.81257201144956,80388500
2020-10-13,327.31744384765625,329.5049787896775,326.34519658590705,329.3273558708228,73255500
2020-10-14,325.2607421875,329.00012366118165,324.5222348874838,327.8970129734575,57727900
